#,Series,Division,Match Type,Date,Time,Team One,Team Two,Ground
1,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,14:00,Black Caps,Rising Starz Youth,WP 1
2,Leather Ball 2026,Blast T20,League,04/18/2026,15:30,Midwest Bison,Shaheens of Pakistan,Gurnee
3,Leather Ball 2026,Blast T20,League,04/18/2026,08:30,The Underdawg XI,Chicago Saifee Warriors,Hanover Park
4,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,08:30,Stars,Oh Gawd XI,Skoke East
5,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,08:30,Kings,Spartans,Skoke West
6,Leather Ball 2026,RedBall Division II,League,04/19/2026,14:00,Midwest Blizzards,Chicago Tigers,South Barrington OLD
7,Leather Ball 2026,Blast T20,League,04/19/2026,12:00,Knotty 40,The Underdawg XI,Vernon Hills
8,Leather Ball 2026,Elite White Ball Division II,League,04/19/2026,08:30,Black Caps,South Barrington Cricket Club,South Barrington OLD
9,Leather Ball 2026,Blast T20,League,04/19/2026,08:30,Brothers XI,Chicago Saifee Warriors,Vernon Hills
10,Leather Ball 2026,Blast T20,League,04/25/2026,15:30,The Underdawg XI,Shaheens of Pakistan,Hanover Park
11,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,Rising Starz Youth,Spartans,WP 2
12,Leather Ball 2026,Elite White Ball Division II,League,04/25/2026,08:30,Oh Gawd XI,Black Caps,Vernon Hills
13,Leather Ball 2026,Blast T20,League,04/26/2026,12:00,Chicago Saifee Warriors,Midwest Bison,Gurnee
14,Leather Ball 2026,RedBall Division II,League,04/26/2026,08:30,Black Caps,Chicago Tigers,Crescent
15,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,South Barrington Cricket Club,Stars,South Barrington OLD
16,Leather Ball 2026,Blast T20,League,04/26/2026,08:30,Brothers XI,Knotty 40,"James Park, Evanston"
17,Leather Ball 2026,Yash Premier League,League,05/02/2026,14:00,Evanston CC,Pak Gymkhana,Hanover Park
18,Leather Ball 2026,Yash Premier League,League,05/02/2026,14:00,DeePark Dynamites,SBCC Slayers,"James Park, Evanston"
19,Leather Ball 2026,Yash Premier League,League,05/02/2026,14:00,Anjuman,Panthers,Vernon Hills
20,Leather Ball 2026,Blast T20,League,05/02/2026,15:30,Desi Tigers,Challengers,Gurnee
21,Leather Ball 2026,Blast T20,League,05/02/2026,12:00,Knotty 40,Midwest Bison,Gurnee
22,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,Spartans,BPL Youth,Gurnee
23,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,PUCC,Smashers,WP 1
24,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,Kings,CYCA Underdogs,Heritage Park
