#,Series,Division,Match Type,Date,Time,Team One,Team Two,Ground
1,Leather Ball 2026,Yash Premier League,League,04/18/2026,15:30,Barrington Crescent Cricket Club,Evanston CC,Tigers Park
2,Leather Ball 2026,Yash Premier League,League,04/18/2026,15:30,Kings XI Chicago,Midwest CC,Gurnee
3,Leather Ball 2026,Yash Premier League,League,04/18/2026,15:30,Anjuman,Panthers,Naperville East
4,Leather Ball 2026,Yash Premier League,League,04/18/2026,15:30,CYCA Elite,Deccan Mavericks,Plainfield Northwest
5,Leather Ball 2026,Yash Premier League,League,04/18/2026,15:30,Deepark Dynamites,SBCC Slayers,Plainfield Grande Park old
6,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,Oh Gawd XI,Rising Starz Youth,balstrod b.brook
7,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,Kings,Spartans,WP 1
8,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,Black Caps,Wildcats,WP 2
9,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,DMavs Stallions,Warriors,Tippecone Park
10,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,AAA,Midwest Vipers,Crescent
11,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,Chicago Warriors,Schaumburg Strikers,South Barrington OLD
12,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,DeePark Dynamites,Hawks,Hanover Park
13,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,Deccan Heroes,Dominators,Heritage Park
14,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,Bullfincherz,Stars,Skoke East
15,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,CYCA Underdogs,South Barrington Cricket Club,Skoke West
16,Leather Ball 2026,RedBall Division II,League,04/18/2026,15:30,Club Cricket of Chicago,Midwest Blizzards,"James Park, Evanston"
17,Leather Ball 2026,Blast T20,League,04/18/2026,15:30,Knotty 40,Midwest Bison,Vernon Hills
18,Leather Ball 2026,Blast T20,League,04/18/2026,12:00,Brothers XI,Desi Tigers,Tigers Park
19,Leather Ball 2026,Blast T20,League,04/18/2026,12:00,Shaheens of Pakistan,The Underdawg XI,Gurnee
20,Leather Ball 2026,Blast T20,League,04/18/2026,12:00,Club Cricket of Chicago,Knotty 40,Naperville East
21,Leather Ball 2026,Blast T20,League,04/18/2026,12:00,Challengers,Chicago Saifee Warriors,Plainfield Northwest
22,Leather Ball 2026,Yash Premier League,League,04/18/2026,08:30,Midwest CC,Panthers,Tigers Park
23,Leather Ball 2026,Yash Premier League,League,04/18/2026,08:30,Barrington Crescent Cricket Club,CYCA Elite,Gurnee
24,Leather Ball 2026,Yash Premier League,League,04/18/2026,08:30,Anjuman,Deepark Dynamites,Naperville East
25,Leather Ball 2026,Yash Premier League,League,04/18/2026,08:30,Dolphins,Pak Gymkhana,Plainfield Northwest
26,Leather Ball 2026,Yash Premier League,League,04/18/2026,08:30,Deccan Mavericks,Evanston CC,Plainfield Grande Park old
27,Leather Ball 2026,Yash Premier League,League,04/18/2026,08:30,Kings XI Chicago,SBCC Slayers,balstrod b.brook
28,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,08:30,Rising Starz Youth,South Barrington Cricket Club,WP 1
29,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,08:30,Black Caps,Spartans,WP 2
30,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,08:30,BPL Youth,DeePark Dynamites,Tippecone Park
31,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,08:30,CYCA Underdogs,Midwest Vipers,Crescent
