#,Series,Division,Match Type,Date,Time,Team One,Team Two,Ground
1,Leather Ball 2026,Yash Premier League,League,04/18/2026,15:30,Evanston CC,SBCC Slayers,Tigers Park
2,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,CYCA Underdogs,DeePark Dynamites,Gurnee
3,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,Kings,Warriors,Naperville East
4,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,DMavs Stallions,Spartans,Plainfield Northwest
5,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,Midwest Vipers,Oh Gawd XI,Plainfield Grande Park old
6,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,Chicago Warriors,Rising Starz Youth,balstrod b.brook
7,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,Black Caps,Bullfincherz,WP 1
8,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,Dominators,Stars,WP 2
9,Leather Ball 2026,RedBall Division II,League,04/18/2026,15:30,Chicago Tigers,Club Cricket of Chicago,Tippecone Park
10,Leather Ball 2026,Yash Premier League,League,04/18/2026,15:30,Barrington Crescent Cricket Club,Midwest CC,Crescent
11,Leather Ball 2026,Yash Premier League,League,04/18/2026,15:30,Anjuman,CYCA Elite,South Barrington OLD
12,Leather Ball 2026,Yash Premier League,League,04/18/2026,15:30,Pak Gymkhana,Panthers,Hanover Park
13,Leather Ball 2026,Yash Premier League,League,04/18/2026,15:30,Deccan Mavericks,Deepark Dynamites,Heritage Park
14,Leather Ball 2026,Yash Premier League,League,04/18/2026,15:30,Dolphins,Kings XI Chicago,Skoke East
15,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,Schaumburg Strikers,Wildcats,Skoke West
16,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,15:30,Deccan Heroes,Hawks,Vernon Hills
17,Leather Ball 2026,Blast T20,League,04/18/2026,12:00,Chicago Saifee Warriors,Club Cricket of Chicago,Gurnee
18,Leather Ball 2026,Blast T20,League,04/18/2026,12:00,Challengers,Knotty 40,Heritage Park
19,Leather Ball 2026,Yash Premier League,League,04/18/2026,08:30,CYCA Elite,Midwest CC,Tigers Park
20,Leather Ball 2026,Elite White Ball Division II,League,04/18/2026,08:30,Deccan Heroes,Oh Gawd XI,Gurnee
